country;trip.no;haul.no;vessel.length;set.date;haul.date;set.time.start;set.time.end;soak;haul.time.start;haul.time.end;haul.lat.start;haul.lon.start;haul.lat.end;haul.lon.end;perc.haul.obs;view.lines;LL.config;target;bait.type;bait.cond;num.hooks.shot;num.hooks.lost;IMR.qual;LL.length;mitig.set;mitig.haul;depth;sea.state;wind;cloud;LL.material;LL.diam;snood.length;hook.size;hook.type;dist.snood.hook;float.type;float.interv;tot.catch.weight;tot.catch.num;LL.set.type;BSL.length;comments.set;attach.pos.set;LL.haul.type;comments.haul;attach.pos.haul;fulmar;gannet;skua;gbb.gull;kittiwake;g.gull;h.gull;lbb.gull;unid.gull;m.shearwater;e.shag;smthg.else;division;bycatch_tot;bycatch_binary;daysAtSeaOb;effort_metric;length.cat;set_date_parsed;haul_date_parsed;date_parsed;month;year;quarter
FO;FO03;2;25;16.9.2021;;;;;09:00;21:00;62.51855;-5.32575;;;65;Y;added later;added later;Herring. Mackerel. squid;frozen;26000;;;added later;added later;added later;;OK;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-16T00:00:00Z;;2021-09-16T00:00:00Z;9;2021;Q3
FO;FO03;3;25;17.9.2021;;;;;08:00;21:00;62.546983;-5.782883;;;79;Y;added later;added later;Herring. Mackerel. squid;frozen;31200;;;added later;added later;added later;;OK;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-17T00:00:00Z;;2021-09-17T00:00:00Z;9;2021;Q3
FO;FO03;4;25;18.9.2021;;;;;07:00;19:30;62.553633;-5.71155;;;79;Y;added later;added later;Herring. Mackerel. squid;frozen;31200;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-18T00:00:00Z;;2021-09-18T00:00:00Z;9;2021;Q3
FO;FO03;5;25;19.9.2021;;;;;08:00;20:00;62.607633;-6.03455;;;86;Y;added later;added later;Herring. Mackerel. squid;frozen;27300;;;added later;added later;added later;;Bad;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-19T00:00:00Z;;2021-09-19T00:00:00Z;9;2021;Q3
FO;FO03;6;25;20.9.2021;;;;;08:00;20:00;62.489367;-6.352967;;;71;Y;added later;added later;Herring. Mackerel. squid;frozen;27300;;;added later;added later;added later;;Bad;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-20T00:00:00Z;;2021-09-20T00:00:00Z;9;2021;Q3
FO;FO03;7;25;21.9.2021;;;;;08:00;21:00;62.318383;-5.991567;;;68;Y;added later;added later;Herring. Mackerel. squid;frozen;28600;;;added later;added later;added later;;Bad;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-21T00:00:00Z;;2021-09-21T00:00:00Z;9;2021;Q3
FO;FO03;8;25;22.9.2021;;;;;08:00;15:00;61.272033;-6.033;;;100;Y;added later;added later;Herring. Mackerel. squid;frozen;14300;;;added later;added later;added later;;Bad;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-09-22T00:00:00Z;;2021-09-22T00:00:00Z;9;2021;Q3
GR;GR_2021_ 10;10;6.5;22.9.2021;23.9.2021;20:30:00;;11.867;08:22:00;;69.2;-51.1;;;100;Y;demersal;Greenland halibut;polar cod;;900;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1;0;0;1;FiD;<12m;2021-09-22T00:00:00Z;2021-09-23T00:00:00Z;2021-09-22T00:00:00Z;9;2021;Q3
GR;GR_2021_ 1;1;6.5;8.9.2021;9.9.2021;18:57:00;;14.733;09:41:00;;69.27;-51.16;;;100;Y;demersal;Greenland halibut;mackerel;;1000;;;;N;N;360;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-08T00:00:00Z;2021-09-09T00:00:00Z;2021-09-08T00:00:00Z;9;2021;Q3
GR;GR_2021_ 11;11;6.5;23.9.2021;24.9.2021;16:30:00;;15.4;07:54:00;;69.2;-51.14;;;100;Y;demersal;Greenland halibut;polar cod;;600;;;;N;N;400;;;;;;;;J;;;;;;;;;;;;;;;;;;0;;;;;;;21.1.A;0;0;1;FiD;<12m;2021-09-23T00:00:00Z;2021-09-24T00:00:00Z;2021-09-23T00:00:00Z;9;2021;Q3
